Auftrag;Geometrie;DruckerID;Volumen;Filamentdichte;Wirkleistung
2;Quader;2;125;10;53.763248
2;Quader;2;125;10;52.95794
2;Quader;2;125;10;53.739994
2;Quader;2;125;10;53.471016
2;Quader;2;125;10;53.447988
2;Quader;2;125;10;53.447988
2;Quader;2;125;10;54.329968
2;Quader;2;125;10;53.24864
2;Quader;2;125;10;53.179784
2;Quader;2;125;10;53.42496
2;Quader;2;125;10;53.555072
2;Quader;2;125;10;54.057927
2;Quader;2;125;10;53.701109
2;Quader;2;125;10;53.531968
2;Quader;2;125;10;53.42496
2;Quader;2;125;10;53.578176
2;Quader;2;125;10;52.548
2;Quader;2;125;10;53.995788
2;Quader;2;125;10;53.494044
2;Quader;2;125;10;53.670592
2;Quader;2;125;10;53.294544
2;Quader;2;125;10;53.471016
2;Quader;2;125;10;52.4643
2;Quader;2;125;10;53.77064
2;Quader;2;125;10;52.9416
2;Quader;2;125;10;53.995788
2;Quader;2;125;10;51.87435
2;Quader;2;125;10;53.793817
2;Quader;2;125;10;55.294932
2;Quader;2;125;10;57.12525
2;Quader;2;125;10;55.318725
2;Quader;2;125;10;53.5401
2;Quader;2;125;10;51.9414
2;Quader;2;125;10;52.441725
2;Quader;2;125;10;52.2225
2;Quader;2;125;10;52.651508
2;Quader;2;125;10;54.570906
2;Quader;2;125;10;54.169038
2;Quader;2;125;10;54.169038
2;Quader;2;125;10;53.928966
2;Quader;2;125;10;52.860808
2;Quader;2;125;10;53.637969
2;Quader;2;125;10;52.14825
2;Quader;2;125;10;53.5227
2;Quader;2;125;10;53.809756
2;Quader;2;125;10;50.237194
2;Quader;2;125;10;9.05728
2;Quader;2;125;10;8.482902
2;Quader;2;125;10;2.44992
3;Quader;2;8;55;32.818101
3;Quader;2;8;55;76.7376
3;Quader;2;8;55;102.6648
3;Quader;2;8;55;59.48712
3;Quader;2;8;55;58.853184
3;Quader;2;8;55;33.843837
3;Quader;2;8;55;16.796824
3;Quader;2;8;55;28.945422
3;Quader;2;8;55;37.02348
3;Quader;2;8;55;46.079781
3;Quader;2;8;55;51.1578
3;Quader;2;8;55;53.965912
3;Quader;2;8;55;55.025355
3;Quader;2;8;55;56.168112
3;Quader;2;8;55;56.468643
3;Quader;2;8;55;56.877975
3;Quader;2;8;55;57.05854
3;Quader;2;8;55;56.85372
3;Quader;2;8;55;56.468643
3;Quader;2;8;55;56.80521
3;Quader;2;8;55;56.420441
3;Quader;2;8;55;56.57652
3;Quader;2;8;55;56.528164
3;Quader;2;8;55;56.420441
3;Quader;2;8;55;56.985544
3;Quader;2;8;55;56.39634
3;Quader;2;8;55;56.70819
3;Quader;2;8;55;56.888216
3;Quader;2;8;55;56.120064
3;Quader;2;8;55;56.70819
3;Quader;2;8;55;56.39634
3;Quader;2;8;55;56.431452
3;Quader;2;8;55;55.916245
3;Quader;2;8;55;56.120064
3;Quader;2;8;55;56.299936
3;Quader;2;8;55;55.331876
